game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_04_CAR_NE,2025,4,2025-09-28,NE,CAR,28.0,6.0,42,13,5.5,42.5,False,CAR,22,False,0.0,0
2025_04_CHI_LV,2025,4,2025-09-28,LV,CHI,14.0,9.0,24,25,1.5,47.5,False,CHI,5,False,0.0,1
2025_04_CIN_DEN,2025,4,2025-09-29,DEN,CIN,21.0,3.0,28,3,7.5,44.5,False,CIN,18,False,0.0,0
2025_04_CLE_DET,2025,4,2025-09-28,DET,CLE,20.0,7.0,34,10,10.0,44.5,False,CLE,13,False,0.0,0
2025_04_GB_DAL,2025,4,2025-09-28,DAL,GB,16.0,13.0,40,40,-7.0,47.5,False,GB,3,True,7.0,0
2025_04_IND_LA,2025,4,2025-09-28,LA,IND,13.0,10.0,27,20,3.5,49.5,False,IND,3,False,0.0,0
2025_04_JAX_SF,2025,4,2025-09-28,SF,JAX,6.0,17.0,21,26,3.5,45.5,True,SF,11,True,3.5,0
2025_04_LAC_NYG,2025,4,2025-09-28,NYG,LAC,13.0,10.0,21,18,-6.0,43.5,False,LAC,3,True,6.0,0
2025_04_MIN_PIT,2025,4,2025-09-28,PIT,MIN,14.0,6.0,24,21,-2.5,41.5,False,MIN,8,True,2.5,0
2025_04_NO_BUF,2025,4,2025-09-28,BUF,NO,14.0,10.0,31,19,15.5,48.5,False,NO,4,False,0.0,0
2025_04_NYJ_MIA,2025,4,2025-09-29,MIA,NYJ,10.0,3.0,27,21,2.5,44.5,False,NYJ,7,False,0.0,0
2025_04_PHI_TB,2025,4,2025-09-28,TB,PHI,6.0,24.0,25,31,-3.5,44.5,True,TB,18,False,0.0,0
2025_04_SEA_ARI,2025,4,2025-09-25,ARI,SEA,3.0,14.0,20,23,-1.5,43.5,True,ARI,11,False,0.0,0
2025_04_TEN_HOU,2025,4,2025-09-28,HOU,TEN,6.0,0.0,26,0,7.5,39.5,False,TEN,6,False,0.0,0
2025_04_WAS_ATL,2025,4,2025-09-28,ATL,WAS,17.0,10.0,34,27,2.5,43.5,False,WAS,7,False,0.0,0
