game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2010_04_CAR_NO,2010,4,2010-10-03,NO,CAR,10.0,7.0,16,14,12.5,43.5,False,CAR,3,False,0.0,0
2010_04_CHI_NYG,2010,4,2010-10-03,NYG,CHI,3.0,0.0,17,3,3.5,44.0,False,CHI,3,False,0.0,0
2010_04_CIN_CLE,2010,4,2010-10-03,CLE,CIN,13.0,10.0,23,20,-1.5,36.5,False,CIN,3,True,1.5,0
2010_04_DET_GB,2010,4,2010-10-03,GB,DET,21.0,14.0,28,26,14.5,46.0,False,DET,7,False,0.0,0
2010_04_NE_MIA,2010,4,2010-10-04,MIA,NE,7.0,6.0,14,41,1.0,48.0,False,NE,1,False,0.0,1
2010_04_NYJ_BUF,2010,4,2010-10-03,BUF,NYJ,7.0,17.0,14,38,-5.5,36.5,True,BUF,10,False,0.0,0
2010_04_SEA_STL,2010,4,2010-10-03,LA,SEA,10.0,3.0,20,3,-1.5,40.0,False,SEA,7,True,1.5,0
2010_04_SF_ATL,2010,4,2010-10-03,ATL,SF,10.0,14.0,16,14,7.0,42.5,True,ATL,4,True,7.0,1
2010_04_WAS_PHI,2010,4,2010-10-03,PHI,WAS,6.0,17.0,12,17,5.0,44.0,True,PHI,11,True,5.0,0
2010_05_ATL_CLE,2010,5,2010-10-10,CLE,ATL,7.0,6.0,10,20,-3.0,41.5,False,ATL,1,True,3.0,1
2010_05_CHI_CAR,2010,5,2010-10-10,CAR,CHI,3.0,17.0,6,23,2.5,33.0,True,CAR,14,True,2.5,0
2010_05_DEN_BAL,2010,5,2010-10-10,BAL,DEN,17.0,7.0,31,17,8.0,39.5,False,DEN,10,False,0.0,0
2010_05_GB_WAS,2010,5,2010-10-10,WAS,GB,3.0,10.0,16,13,-2.5,45.5,True,WAS,7,False,0.0,1
